V0,0.043,0.032,5.5,14.0,21.2,0.057
V0BAR,0.043,0.032*0.064,5.0,8.0,14.0,0.060
V1,0.053,0.032,5.8,14.0,20.5,0.056
Vx,0.053,0.032,5.8,14.0,20.5,0.056
VxBAR,0.053,0.032*0.064,2.3,9.0,17.0,0.060
VxLRG,0.053,0.064*0.064,1.5,6.0,11.3,0.065
Jy,0.053,0.032,5.5,14.0,23.8,0.057
JyBAR,0.053,0.032*0.064,2.5,9.0,17.0,0.060
JyLRG,0.053,0.064*0.064,1.5,6.0,11.3,0.065
Ax,0.060,0.040,5.8,10.0,16.8,0.059
AxBAR,0.060,0.040*0.080,1.0,7.2,14.3,0.063
AxLRG,0.060,0.080*0.080,0.7,4.6,8.8,0.069
CK,0.105,0.064,2.2,4.5,7.9,0.065
Ux,0.105,0.064,2.2,4.5,7.9,0.065
CH,0.300,0.180,0.60,1.00,1.60,0.096
KH,0.300,0.180,0.60,1.00,1.60,0.096
Nx,0.300,0.180,0.60,1.00,1.60,0.096
CG,0.600,0.324,0.42,0.65,0.87,0.145
KG,0.600,0.324,0.42,0.65,0.87,0.145
HG,0.600,0.324,0.42,0.65,0.87,0.145
Tx,0.600,0.324,0.42,0.65,0.87,0.145
JQ,0.620,0.324,0.16,0.45,0.77,0.142
VV,1.100,2.700,0.006,0.025,0.123,0.49